C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-8.858322,-37.372155,-26.655900,-30.729335,-9.638693,-28.170825,-22.969903,-6.832391,-33.349408,-43.512189,-31.959746,-34.490393,0.000000
-8.314387,-35.473572,-24.229938,-31.879778,-10.784071,-21.190426,-20.941366,-6.443858,-38.580991,-40.878660,-34.034070,-25.829733,0.000000
-22.421510,-34.479204,-37.784607,-32.341920,-20.494942,-36.501185,-30.408866,-18.764961,-36.409387,-36.125932,-34.837774,-31.232916,0.000000
-21.776939,-34.344848,-32.207673,-40.687852,-20.958648,-36.707815,-29.988552,-18.766375,-36.153937,-35.803805,-34.522592,-30.966901,0.000000
-7.264647,-34.423937,-26.145000,-29.527433,-9.992322,-26.839066,-22.322503,-7.003669,-31.281634,-38.649746,-30.905405,-33.337268,0.000000
-8.079879,-35.830308,-25.910213,-28.542880,-10.500793,-21.924467,-19.088847,-4.534298,-38.298274,-37.890352,-39.090738,-19.568577,0.000000
-10.248960,-37.967209,-26.722641,-28.936273,-10.065040,-25.838429,-22.903700,-4.835195,-30.892944,-40.786016,-36.229930,-32.063590,0.000000
-10.671509,-31.262776,-29.256209,-41.284780,-15.181144,-35.761914,-19.166044,-2.535261,-27.772175,-36.469401,-40.563094,-31.213701,0.000000
-10.707509,-40.726565,-30.771179,-26.372014,-10.720878,-24.822616,-20.474758,-5.003819,-33.475005,-38.445287,-37.480330,-26.518145,0.000000
-7.684077,-39.198300,-22.242702,-33.851543,-8.037301,-28.023746,-19.449567,-10.222868,-23.556491,-38.660697,-30.743648,-15.767393,0.000000
-8.579072,-39.641989,-24.864075,-29.016928,-10.084104,-20.875672,-20.317890,-4.879365,-28.531079,-40.499531,-33.842446,-17.124651,0.000000
-7.048876,-34.327340,-26.860167,-28.907227,-11.586523,-27.824149,-20.904844,-4.605126,-33.779246,-41.041189,-40.345910,-19.766390,0.000000
-13.945019,-38.882058,-18.705223,-29.458397,-8.481115,-26.776273,-19.337865,-6.858492,-26.110327,-37.700722,-40.548131,-14.020671,0.000000
-6.490060,-38.367961,-25.057386,-29.592293,-10.380861,-22.005614,-21.695903,-6.243004,-37.509854,-36.223298,-32.992808,-25.998420,0.000000
-7.211946,-34.271604,-21.794543,-33.753042,-9.037899,-25.047214,-22.383111,-9.572076,-25.315126,-37.100674,-34.485484,-15.138413,0.000000
-7.169002,-36.413808,-25.769395,-32.604725,-7.972143,-29.788599,-22.390149,-7.993746,-34.829528,-42.494199,-35.058524,-25.170940,0.000000
-8.243509,-33.864466,-22.001320,-28.084299,-10.850204,-22.524517,-23.395780,-10.447440,-31.620796,-41.299944,-26.863578,-23.480857,0.000000
-7.004249,-32.546067,-25.372949,-38.298455,-17.206653,-28.797453,-20.160924,-4.633315,-31.084259,-41.797187,-25.384763,-26.579569,0.000000
-6.075363,-32.502917,-29.921026,-31.309838,-10.887264,-19.694262,-20.817979,-4.068521,-38.443985,-40.111945,-40.253258,-18.787085,0.000000
-5.724858,-36.791507,-19.862936,-30.997366,-11.177332,-8.408396,-24.577955,-10.842582,-36.592944,-40.953651,-31.268566,-20.339468,0.000000
-6.453854,-34.778909,-24.961357,-35.229439,-12.894019,-30.877627,-23.460688,-8.362212,-31.310482,-27.362290,-28.041315,-23.568731,0.000000
-7.526419,-34.939492,-26.353954,-38.100295,-19.151855,-10.696098,-23.710013,-4.656282,-35.264954,-32.408096,-32.232101,-22.144690,0.000000
-7.259671,-34.932875,-24.035014,-31.825367,-10.896023,-25.905974,-21.189938,-4.210216,-38.204808,-39.408092,-37.779114,-20.858586,0.000000
-14.580629,-37.736528,-20.971439,-27.497035,-8.326562,-21.398858,-13.149265,-7.657071,-35.491174,-36.937210,-38.293795,-17.138625,0.000000
-7.065339,-37.067260,-32.135860,-26.662350,-6.548716,-29.013673,-23.595853,-7.823788,-21.159012,-43.873600,-32.682004,-20.857033,0.000000
-6.842832,-33.029738,-26.139615,-34.319104,-6.198894,-27.638604,-30.546717,-11.263870,-23.916718,-28.713919,-38.495066,-21.065050,0.000000
-5.833640,-36.205243,-25.327600,-33.872568,-7.272370,-19.654556,-34.284322,-12.066598,-23.966541,-33.197168,-35.002468,-18.989130,0.000000
-6.125032,-36.931679,-30.005458,-34.889562,-7.116400,-26.076906,-42.787412,-9.627295,-29.822086,-32.799038,-37.782587,-20.065284,0.000000
-8.667989,-37.984613,-23.387166,-35.261019,-10.884653,-14.220275,-29.156108,-12.229042,-18.113219,-27.465682,-25.326056,-13.634166,0.000000
-6.364827,-34.955294,-26.602297,-35.296478,-8.542341,-25.478895,-29.354621,-9.667124,-23.289809,-29.968993,-33.962726,-25.140381,0.000000
-3.321069,-32.276874,-32.376618,-40.650114,-10.606437,-25.683860,-31.301783,-12.292333,-20.545594,-31.434737,-36.191365,-29.079588,0.000000
-9.073851,-34.883320,-19.335406,-29.693482,-4.468724,-20.859666,-27.741745,-10.271779,-20.940329,-29.773792,-37.072844,-28.066998,0.000000
-7.162781,-38.405355,-20.274353,-34.287010,-9.403026,-28.682584,-30.501897,-11.453325,-21.381236,-33.874774,-25.550828,-15.241039,0.000000
-7.442417,-30.452419,-20.041917,-29.213690,-6.545699,-22.770093,-26.247773,-10.784577,-19.750900,-30.689852,-30.059541,-24.565436,0.000000
-7.117388,-27.653342,-30.600375,-38.354037,-9.953228,-24.537947,-23.287398,-8.886684,-21.949402,-28.639753,-31.266855,-27.172850,0.000000
-8.338691,-39.689494,-21.597587,-32.509562,-9.224515,-21.177322,-32.492869,-9.252850,-25.667076,-32.299341,-27.117521,-18.879608,0.000000
-6.744879,-35.189815,-25.277898,-37.457000,-10.774373,-14.917510,-30.614105,-14.355957,-20.001226,-34.631495,-32.385738,-13.195368,0.000000
-4.805612,-33.825009,-31.118250,-33.962777,-8.414883,-15.650233,-30.816433,-10.349788,-30.859641,-29.043429,-35.644175,-23.693560,0.000000
-4.934071,-35.139842,-23.408017,-36.391652,-10.270745,-29.324272,-32.132365,-12.166382,-24.025529,-32.947462,-32.452872,-21.772908,0.000000
-5.724584,-34.462247,-18.117816,-45.941770,-20.956569,-26.101936,-32.447447,-12.026007,-23.455057,-30.600215,-24.672020,-27.306826,0.000000
-5.901417,-37.787983,-14.010989,-34.501179,-10.814798,-24.356927,-24.756654,-9.933893,-19.973502,-32.074798,-21.474258,-23.516919,0.000000
-3.834654,-33.604659,-16.725741,-38.876893,-17.892925,-17.149004,-29.652479,-14.631633,-23.772452,-27.136193,-23.582240,-26.166887,0.000000
-7.875083,-32.179072,-15.514933,-29.688733,-5.563710,-14.307443,-23.534170,-16.875515,-15.308486,-30.826764,-25.062870,-17.380234,0.000000
-6.325516,-36.280867,-17.488507,-35.498317,-12.808219,-30.923164,-28.970085,-13.254115,-17.245929,-30.873392,-26.236791,-14.474424,0.000000
-7.957999,-34.647776,-30.864385,-34.880210,-8.651516,-29.095631,-29.208614,-6.964465,-21.950671,-35.080180,-37.898364,-20.472684,0.000000
-10.039958,-36.172812,-31.982109,-27.744643,-12.934640,-28.399464,-15.849297,-6.889755,-18.627803,-26.557416,-30.291750,-24.296229,0.000000
-3.987003,-33.710602,-33.828619,-40.038594,-11.824816,-19.812834,-30.358168,-11.903688,-27.436437,-28.446541,-34.099876,-29.886846,0.000000
-7.358976,-35.478602,-25.933058,-31.255588,-7.145308,-34.937286,-20.650888,-7.180013,-20.513002,-32.579124,-35.931039,-25.742737,0.000000
-6.554553,-35.322180,-16.371773,-33.788711,-10.985312,-28.094196,-25.864229,-11.279256,-21.423828,-30.127659,-32.454849,-14.939975,0.000000
-5.181925,-31.889555,-22.345276,-40.840379,-25.907474,-19.537017,-34.454708,-15.461040,-25.854385,-33.793644,-30.123041,-27.151792,0.000000
-7.024487,-32.091769,-28.436783,-29.173940,-8.795745,-23.129180,-26.501732,-9.581807,-31.216081,-26.702242,-38.770107,-24.055422,0.000000
-6.731688,-32.250226,-26.096438,-33.392609,-8.587606,-13.788522,-26.658108,-8.916176,-32.019776,-43.080602,-31.904470,-19.446805,0.000000
-8.400387,-37.017738,-25.277495,-35.425652,-9.702997,-17.538293,-27.700037,-11.230601,-26.788906,-33.536158,-33.496491,-12.452733,0.000000
-7.414793,-34.744515,-30.158657,-31.600919,-8.769536,-22.123534,-27.741496,-7.309463,-32.486534,-41.548032,-31.232973,-25.248070,0.000000
-6.313831,-36.602290,-25.938497,-30.735046,-7.674661,-13.796935,-36.145272,-8.681335,-29.941546,-39.412973,-36.465373,-19.897105,0.000000
-8.217671,-36.318039,-22.104205,-33.604264,-8.459682,-26.513070,-25.945604,-13.077104,-25.578448,-30.718576,-30.563887,-12.767936,0.000000
-8.379372,-34.271266,-22.601359,-28.560658,-8.374121,-30.311693,-26.620292,-7.565694,-32.647244,-42.303657,-31.227485,-26.719377,0.000000
-7.610578,-34.470225,-32.688131,-31.038734,-6.676843,-28.885803,-42.582923,-5.335328,-38.056455,-41.741717,-33.793758,-21.689909,0.000000
-3.980778,-34.089186,-31.696883,-34.307425,-9.326610,-22.255066,-28.837288,-5.401572,-33.253221,-38.242660,-38.608543,-31.888309,0.000000
-7.602155,-36.275626,-25.507510,-38.880725,-8.369591,-18.331832,-25.477040,-9.952683,-27.273002,-38.266095,-28.474149,-14.250300,0.000000
