C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-3.4,-37.3,-30.9,-35.3,-5.2,-27.6,-30.5,-17.6,-27.7,-33.6,-37.0,-28.2,1.0
-5.1,-41.1,-28.7,-37.8,-4.2,-31.4,-36.6,-15.6,-30.8,-25.5,-32.3,-21.2,1.0
-5.5,-38.8,-30.1,-33.8,-4.0,-33.2,-29.3,-14.8,-37.6,-32.5,-34.3,-26.5,1.0
-6.0,-40.8,-26.3,-37.9,-3.3,-33.5,-36.7,-14.8,-33.7,-41.8,-39.9,-25.3,1.0
-5.1,-41.6,-27.9,-37.7,-5.5,-33.3,-37.8,-17.8,-33.0,-38.9,-33.2,-21.8,1.0
-3.8,-39.2,-26.0,-34.4,-4.1,-34.9,-30.3,-15.4,-35.5,-29.3,-38.2,-24.3,1.0
-4.1,-41.1,-27.3,-34.0,-4.0,-35.0,-30.9,-15.5,-35.1,-31.8,-39.2,-26.7,1.0
-5.3,-44.4,-28.9,-33.7,-4.8,-31.8,-29.5,-16.2,-33.1,-33.9,-40.5,-25.2,1.0
-3.7,-41.8,-27.2,-38.3,-4.7,-34.2,-29.5,-16.3,-36.4,-32.9,-35.3,-23.0,1.0
-3.3,-40.9,-19.2,-36.8,-6.3,-28.4,-34.5,-15.5,-34.0,-28.5,-33.6,-23.1,1.0
-3.2,-39.2,-20.5,-36.4,-6.0,-32.0,-32.4,-18.4,-36.1,-29.4,-34.3,-24.7,1.0
-3.4,-40.0,-23.0,-35.1,-5.3,-36.0,-32.8,-18.1,-38.9,-33.2,-35.7,-21.3,1.0
-2.8,-40.5,-24.4,-37.8,-5.9,-35.7,-36.9,-15.8,-36.8,-27.5,-35.7,-25.1,1.0
-6.4,-42.3,-22.5,-38.2,-3.0,-31.3,-36.7,-16.5,-33.4,-27.2,-40.3,-22.1,1.0
-4.3,-32.5,-26.8,-38.0,-7.0,-27.7,-18.4,-19.5,-29.5,-33.6,-37.2,-26.7,1.0
-2.8,-36.3,-27.0,-40.6,-7.6,-33.6,-32.5,-19.3,-30.8,-23.5,-31.2,-24.6,1.0
-4.3,-36.9,-23.3,-36.2,-4.6,-32.3,-31.9,-18.4,-36.6,-22.0,-30.7,-25.7,1.0
-5.2,-39.7,-25.4,-33.7,-3.7,-34.8,-28.3,-16.9,-33.3,-29.3,-36.3,-25.6,1.0
-3.8,-37.6,-26.4,-38.4,-4.4,-33.3,-31.7,-16.8,-34.7,-32.9,-37.3,-27.9,1.0
-4.0,-40.5,-23.1,-36.2,-5.4,-29.5,-33.3,-16.3,-30.5,-25.6,-33.6,-24.9,1.0
-6.5,-36.4,-23.2,-27.3,-4.8,-26.1,-25.9,-14.1,-31.1,-23.3,-29.7,-28.0,1.0
-4.1,-39.9,-25.2,-32.9,-5.2,-34.6,-35.6,-16.5,-33.7,-28.8,-34.1,-29.3,1.0
-4.7,-36.7,-28.8,-34.2,-4.7,-34.4,-31.2,-15.8,-35.4,-24.1,-31.1,-28.9,1.0
-5.8,-37.5,-26.3,-34.9,-4.7,-30.8,-29.0,-15.9,-29.7,-26.7,-30.3,-22.7,1.0
-5.1,-38.3,-26.2,-33.1,-4.9,-28.0,-30.8,-15.1,-27.8,-30.8,-29.3,-24.3,1.0
-5.1,-35.8,-23.1,-38.0,-5.1,-33.5,-29.4,-14.2,-27.0,-27.3,-27.7,-21.0,1.0
-4.2,-41.2,-26.5,-40.6,-4.7,-31.2,-29.7,-15.5,-31.3,-33.4,-29.2,-20.1,1.0
-4.2,-42.9,-27.8,-33.8,-4.2,-33.9,-33.8,-16.5,-34.4,-27.3,-34.1,-27.4,1.0
-4.0,-42.1,-21.3,-34.6,-3.8,-35.2,-36.1,-18.4,-32.8,-29.7,-34.9,-24.9,1.0
-3.9,-40.4,-27.0,-37.9,-8.1,-32.5,-30.2,-19.6,-30.3,-27.9,-34.8,-20.9,1.0
-3.3,-38.9,-24.2,-30.2,-6.8,-33.7,-36.2,-15.6,-33.9,-28.8,-34.1,-24.1,1.0
-3.1,-38.4,-26.5,-34.7,-6.0,-33.6,-29.7,-18.6,-34.0,-34.3,-35.5,-25.6,1.0
-4.0,-42.3,-24.5,-32.0,-4.5,-30.6,-31.0,-17.8,-35.0,-26.6,-31.3,-23.7,1.0
-4.2,-42.5,-34.5,-38.3,-4.6,-29.8,-29.7,-17.6,-35.0,-31.9,-33.8,-23.0,1.0
-3.4,-39.8,-27.5,-36.7,-5.2,-32.7,-30.3,-17.6,-26.2,-30.0,-32.9,-22.4,1.0
-4.0,-35.7,-23.6,-33.8,-4.7,-35.3,-36.0,-18.2,-30.6,-27.8,-34.9,-27.6,1.0
-2.5,-35.2,-22.2,-39.8,-7.3,-35.3,-34.4,-16.9,-31.1,-22.9,-32.3,-24.4,1.0
-4.3,-34.4,-31.7,-36.4,-4.5,-31.9,-12.3,-16.5,-38.2,-23.1,-31.9,-22.5,1.0
-3.4,-37.1,-24.7,-36.1,-5.5,-35.3,-26.6,-16.7,-35.5,-26.5,-34.4,-23.1,1.0
-4.6,-42.9,-26.9,-36.3,-4.7,-31.4,-35.6,-17.8,-34.9,-30.2,-33.9,-22.1,1.0
-5.7,-43.3,-27.4,-33.1,-3.3,-33.8,-33.8,-15.7,-32.4,-24.1,-32.3,-22.1,1.0
-17.0,-38.2,-24.2,-33.5,-2.5,-29.0,-24.7,-12.8,-33.6,-25.5,-34.6,-17.7,1.0
-5.0,-37.2,-26.5,-37.5,-4.8,-32.9,-27.5,-14.7,-25.3,-28.0,-35.6,-21.0,1.0
-3.3,-44.2,-27.8,-38.2,-5.1,-33.7,-33.7,-16.5,-34.7,-33.2,-35.7,-22.4,1.0
-3.3,-36.3,-31.0,-35.5,-4.9,-31.1,-32.5,-18.4,-39.8,-24.5,-36.1,-23.1,1.0
-4.4,-41.7,-24.8,-33.2,-4.2,-34.5,-31.4,-17.1,-33.2,-32.6,-32.4,-27.1,1.0
-3.0,-39.3,-32.4,-35.0,-5.5,-31.0,-29.2,-19.0,-31.1,-27.5,-40.9,-24.1,1.0
-3.4,-37.4,-29.1,-36.7,-5.1,-32.9,-29.8,-18.4,-35.9,-28.1,-35.2,-21.9,1.0
-3.6,-39.3,-28.4,-38.9,-5.5,-32.9,-28.6,-18.6,-25.1,-29.0,-37.7,-19.6,1.0
-9.6,-38.6,-23.8,-31.8,-2.9,-31.1,-33.7,-14.2,-32.2,-29.4,-39.1,-21.6,1.0
-10.6,-36.4,-20.4,-37.8,-3.3,-28.9,-29.3,-13.0,-29.3,-25.5,-39.2,-18.6,1.0
-4.8,-35.5,-28.0,-33.5,-5.6,-32.9,-28.2,-13.4,-31.6,-28.0,-36.1,-20.9,1.0
-3.7,-37.2,-24.9,-34.3,-5.2,-29.5,-35.7,-17.1,-34.2,-28.2,-31.7,-26.7,1.0
-2.9,-39.9,-23.8,-38.1,-6.5,-30.6,-33.1,-17.1,-33.1,-26.3,-33.8,-22.5,1.0
-4.2,-37.4,-24.6,-35.1,-5.2,-31.4,-34.2,-14.7,-26.5,-36.0,-34.9,-23.0,1.0
-4.1,-39.8,-25.4,-31.5,-6.3,-29.2,-25.9,-15.8,-32.2,-26.5,-34.8,-21.8,1.0
-3.6,-39.7,-25.4,-36.8,-7.8,-33.1,-24.6,-17.3,-29.3,-24.6,-34.4,-23.4,1.0
-3.3,-40.0,-25.5,-34.4,-6.0,-35.3,-36.2,-16.6,-37.5,-31.4,-34.9,-24.2,1.0
-5.8,-38.3,-21.1,-34.3,-4.5,-27.7,-24.5,-16.5,-37.6,-32.5,-30.7,-22.4,1.0
-3.8,-38.3,-22.2,-33.3,-7.2,-29.7,-35.3,-15.7,-36.1,-30.4,-34.7,-21.9,1.0
-4.1,-41.1,-26.2,-34.4,-5.1,-32.6,-23.8,-15.5,-33.4,-35.5,-37.3,-22.4,1.0
-3.5,-37.6,-23.7,-35.4,-6.1,-34.5,-33.9,-17.1,-34.6,-29.3,-32.4,-21.5,1.0
